S.No,State/UT,Solar Electricity Generation in 2022-2023 ,Longitude,Latitude 
1,Chandigarh,12.61,76.7794,30.7333
2,Delhi,236.11,77.12, 28.38 
3,Haryana,555.2,74.6,30.3
4,Himachal Pradesh,58.76,77.5619,32.1024
5,Jammu and Kashmir,0,75.3412,33.2778
6,Ladakh,0,77.5619,34.2268
7,Punjab,2778.66,75.3412,31.1471
8,Rajasthan,34474.43,74.2179,27.0238
9,Uttar Pradesh,3674.02,80.0982,27.5706
10,Uttarakhand,331.8,79.0193,30.0668
11,Chhattisgarh,635.42,81.8661,21.2787
12,Gujarat,10335.32,71.5724,22.6708
13,Madhya Pradesh,3839.3,78.6569,22.9734
14,Maharashtra,4387.85,75.7139,19.7515
15,Dadra and Nagar Haveli ,27.4,73.0169,20.1809
16,Goa,14.87,74.124,15.2993
17,Andhra Pradesh,8140.72,79.74,15.9129
18,Telangana,6745.46,79.775,17.0944
19,Karnataka,14153.79,75.7139,15.3173
20,Kerala,879.75,76.6413,10.1632
21,Tamil Nadu,9419.39,78.6569,11.1271
22,Lakshadweep ,0.1,73,10
23,Puducherry,12.24,79.8083,11.9416
24,Andaman and Nicobar Islands,23.94,92.5,10.7449
25,Bihar,169.53,85.2722,25.9644
26,Jharkhand,19.7,85.2722,23.6913
27,Orissa,706.24,84.27,20.2376
28,Sikkim ,0,88.3239,27.3516
29,West Bengal,125.04,87.855,22.9868
30,Arunachal Pradesh,22.27,94.7278,28.218
31,Assam,216.35,92.9376,26.2006
32,Manipur,8.17,93.9063,24.6637
33,Meghalaya,0,91.3662,25.467
34,Mizoram,3.21,92.9376,23.1645
35,Nagaland,0,94.5624,26.1584
36,Tripura,6.58,91.6761,23.5639
