S. No.,State,Name of Park,Capacity Approved (MW),Projects Installed so far (MW)
1,Andhra Pradesh,Ananthapuramu-I Solar Park,1400,1400
2,Andhra Pradesh,Kurnool Solar Park,1000,1000
3,Andhra Pradesh,Kadapa Solar Park,1000,250
4,Andhra Pradesh,Ananthapuramu-II Solar Park,500,400
5,Andhra Pradesh,Ramagiri Solar Park,200,0
6,Chhattishgarh,Rajnandgaon Solar Park,100,0
7,Gujarat,Radhnesada Solar Park,700,500
8,Gujarat,Dholera Solar Park,1000,300
9,Gujarat,NTPC RE Park,4750,0
10,Gujarat,GSECL RE Park,3325,0
11,Gujarat,GIPCL RE Park Ph-I,600,0
12,Gujarat,GIPCL RE Park Ph-II,1200,0
13,Gujarat,GIPCL RE Park Ph-III,450,0
14,Himachal Pradesh,Kaza Solar Park,880,0
15,Himachal Pradesh,Kinnaur Solar Park,400,0
16,Jharkhand,SECI Floating Solar Park,100,0
17,Jharkhand,Deogarh Solar Park,20,0
18,Jharkhand,Palamu Solar Park,20,0
19,Jharkhand,Garwha Solar Park,20,0
20,Jharkhand,Simdega Solar Park,20,0
21,Jharkhand,DVC Floating Solar Park Ph-I,755,0
22,Jharkhand,DVC Floating Solar Park Ph-II,234,0
23,Karnataka,Pavagada Solar Park,2000,2000
24,Karnataka,Kalburgi Solar Park,500,0
25,Kerala,Kasaragod Solar Park,105,100
26,Kerala,Floating Solar Park,50,0
27,Madhya Pradesh,Rewa Solar Park,750,750
28,Madhya Pradesh,Mandsaur Solar Park,250,250
29,Madhya Pradesh,Neemuch Solar Park,500,0
30,Madhya Pradesh,Agar Solar Park,550,0
31,Madhya Pradesh,Shajapur Solar Park,450,0
32,Madhya Pradesh,Omkareswar Floating Solar Park,600,0
33,Madhya Pradesh,Chhattarpur Solar Park,950,0
34,Madhya Pradesh,Morena Solar Park,1400,0
35,Madhya Pradesh,Barethi Solar Park,630,0
36,Maharashtra,Sai Guru Solar Park,500,0
37,Maharashtra,Dondaicha Solar Park,250,0
38,Mizoram,Vankal Solar Park,20,0
39,Odisha,Solar Park in Odisha,40,0
40,Odisha,Floating Solar Park Ph-I,100,0
41,Odisha,Floating Solar Park Ph-II,200,0
42,Rajasthan,Bhadla-II Solar Park,680,680
43,Rajasthan,Bhadla-III Solar Park,1000,1000
44,Rajasthan,Bhadla-IV Solar Park,500,500
45,Rajasthan,Phalodi-Pokaran Solar Park,750,300
46,Rajasthan,Fatehgarh Phase-1B Solar Park,421,421
47,Rajasthan,Nokh Solar Park,925,0
48,Rajasthan,Pugal Solar Park Ph-I,1000,0
49,Rajasthan,Pugal Solar Park Ph-II,450,0
50,Rajasthan,RVUN Solar Park,1310,0
51,Uttar Pradesh,Solar Park in UP,365,240
52,Uttar Pradesh,Jalaun Solar Park,1200,0
53,Uttar Pradesh,Mirzapur Solar Park,100,0
54,Uttar Pradesh,Kalpi Solar Park,65,26
55,Uttar Pradesh,Lalitpur Solar Park,600,0
56,Uttar Pradesh,Jhansi Solar Park,600,0
57,Uttar Pradesh,Chitrakoot Solar Park,800,0
Total,Total,Total,39285,10117
